date,lat,lon,ele,name
Fall 2022,40.23733397,-105.288747,1662.86084,AV GCP1
Fall 2022,40.23806898,-105.289264,1663.827881,AV GCP2
Fall 2022,40.23856896,-105.289226,1664.407959,AV GCP3
Fall 2022,40.23938402,-105.288692,1667.237427,AV GCP4
Fall 2022,40.23908,-105.288547,1664.643799,AV GCP5
Fall 2022,40.23867901,-105.288714,1666.219116,AV GCP6
Fall 2022,40.23816797,-105.289055,1662.681641,AV GCP7
Fall 2022,39.92632203,-105.225121,1765.802612,HW93 GCP1
Fall 2022,39.92522903,-105.227008,1767.402954,HW93 GCP10
Fall 2022,39.92612204,-105.22515,1765.725952,HW93 GCP2
Fall 2022,39.92616897,-105.225558,1765.730591,HW93 GCP3
Fall 2022,39.926217,-105.22597,1768.897095,HW93 GCP4
Fall 2022,39.92609102,-105.226136,1767.081055,HW93 GCP5
Fall 2022,39.92610997,-105.226597,1766.891846,HW93 GCP6
Fall 2022,39.92590503,-105.226773,1767.783203,HW93 GCP7
Fall 2022,39.92573597,-105.227071,1768.570679,HW93 GCP8
Fall 2022,39.92540496,-105.227329,1768.123169,HW93 GCP9
Fall 2022,40.14569697,-105.322559,0,LEG1-GCP1
Fall 2022,40.12882101,-105.299696,1730.85376,LEG1-GCP10
Fall 2022,40.12695797,-105.303407,1745.74646,LEG1-GCP11
Fall 2022,40.12938503,-105.299836,1729.68396,LEG1-GCP111
Fall 2022,40.12698999,-105.30275,1745.385986,LEG1-GCP2
Fall 2022,40.126863,-105.302317,1741.674805,LEG1-GCP3
Fall 2022,40.12675898,-105.300804,1739.144897,LEG1-GCP4
Fall 2022,40.12668103,-105.300524,1733.775146,LEG1-GCP5
Fall 2022,40.12680902,-105.299879,1733.918457,LEG1-GCP6
Fall 2022,40.12709401,-105.299541,1728.314331,LEG1-GCP7
Fall 2022,40.12753699,-105.29938,1727.394287,LEG1-GCP8
Fall 2022,40.12820302,-105.299543,1730.303955,LEG1-GCP9
Fall 2022,39.96899203,-105.226987,1647.001099,VV GCP1
Fall 2022,39.97020699,-105.226286,1639.746582,VV GCP10
Fall 2022,39.96919203,-105.22729,1645.933716,VV GCP2
Fall 2022,39.96967097,-105.227048,1644.839844,VV GCP3
Fall 2022,39.96963803,-105.226775,1642.447388,VV GCP4
Fall 2022,39.96998101,-105.22693,1641.874634,VV GCP5
Fall 2022,39.97034504,-105.22644,1642.542847,VV GCP6
Fall 2022,39.970626,-105.226096,1640.94519,VV GCP7
Fall 2022,39.97060597,-105.225596,1639.187866,VV GCP8
Fall 2022,39.97079498,-105.225542,1639.808594,VV GCP9
Fall 2022,40.209302,-105.284927,1639,HM
